BUS_STOP_N,Name,Comment,BFC marker ID,coords.x1,coords.x2
3241,MAPLETREE ANSON,,5840,103.84546,1.27459
3311,MARINA BAY STN,,1086,103.85527,1.27521
3319,OPP MARINA BAY STN,MARINA STREET,1087,103.85529,1.27496
3331,BEF MARINA GDNS DR,MARINA BOULEVARD,1090,103.86077,1.27663
3339,AFT MARINA GDNS DR,MARINA BOULEVARD,1091,103.8595,1.27498
3341,BEF GDNS BY THE BAY,MARINA GARDENS DRIVE,1092,103.86446,1.27968
3349,AFT GDNS BY THE BAY,MARINA GARDENS DRIVE,1093,103.86499,1.27987
3369,MARINA BARRAGE,MARINA GARDENS DRIVE,1095,103.871,1.28
3371,GDNS BY THE BAY,MARINA GARDENS DRIVE,1096,103.86669,1.28067
3381,THE SAIL,MARINA BOULEVARD,5412,103.85354,1.2813
3391,MARINA BAY FINANCIAL CTR,MARINA BOULEVARD,5413,103.85498,1.28038
3419,MARINA STH PIER TER,MARINA COASTAL DRIVE,5282,103.86298,1.27128
3411,OPP MARINA STH PIER,MARINA COASTAL DRIVE,5648,103.86301,1.27159
3421,MARINA BAY CRUISE CTR,MARINA COASTAL DRIVE,6813,103.85999,1.26644
3509,MARINA BAY SANDS HOTEL,BAYFRONT AVENUE,5410,103.86004,1.28315
3501,MARINA BAY SANDS THEATRE,BAYFRONT AVENUE,5415,103.86061,1.285
3519,OPP MARINA BAY SANDS MICE,BAYFRONT AVENUE,5411,103.85885,1.28125
3511,MARINA BAY SANDS - MICE,BAYFRONT AVENUE,5414,103.85897,1.28195
3529,DOWNTOWN STN,CENTRAL BOULEVARD,5673,103.85279,1.2794
3539,MARINA BAY STN,CENTRAL BOULEVARD,5416,103.85562,1.27753
3531,BEF MARINA WAY,CENTRAL BOULEVARD,5417,103.85418,1.27866
4111,CAPITOL BLDG,STAMFORD ROAD,1103,103.85136,1.29404
4121,SMU,STAMFORD ROAD,1104,103.84971,1.29621
4142,ARMENIAN CH,HILL STREET,1105,103.84966,1.2931
4143,STAMFORD CT,HILL STREET,1106,103.8504,1.29399
4149,GRAND PARK CITY HALL,HILL STREET,1107,103.84984,1.29276
4151,CATH OF THE GOOD SHEPHERD,VICTORIA STREET,1108,103.85114,1.29534
4159,AFT CHIJMES,VICTORIA STREET,1109,103.85108,1.29488
4167,ST ANDREW'S CATH,NORTH BRIDGE ROAD,1110,103.85164,1.29288
4168,OPP PENINSULA PLAZA,NORTH BRIDGE ROAD,1111,103.85119,1.29214
4179,NTUC INCOME CTR,BRAS BASAH ROAD,1112,103.85149,1.29638
4189,MANULIFE CTR,BRAS BASAH ROAD,6985,103.84975,1.2978
4211,CLARKE QUAY,RIVER VALLEY ROAD,1113,103.84712,1.29044
4219,OPP CLARKE QUAY,RIVER VALLEY ROAD,1114,103.84687,1.2909
4223,OLD HILL ST POLICE STN,HILL STREET,1117,103.84864,1.29094
4229,HIGH ST CTR,HILL STREET,1118,103.84875,1.29047
4222,CLARKE QUAY STN,EU TONG SEN STREET,1119,103.84709,1.28899
4239,CLARKE QUAY STN,NEW BRIDGE ROAD,1120,103.84745,1.28888
4249,OPP THE TREASURY,NORTH BRIDGE ROAD,1121,103.85022,1.29057
4251,OPP HIGH ST CTR,NORTH BOAT QUAY,1122,103.84888,1.28974
4311,AFT RIVER VALLEY RD,CLEMENCEAU AVENUE,1123,103.84397,1.29477
4321,SHELL HSE,CLEMENCEAU AVENUE,1124,103.84313,1.29216
4329,OPP SHELL HSE,CLEMENCEAU AVENUE,1125,103.84314,1.29198
4331,LIANG CT,RIVER VALLEY ROAD,1126,103.84488,1.29253
4339,OPP LIANG CT,RIVER VALLEY ROAD,1127,103.84501,1.29221
5009,OPP OCBC CTR,NORTH CANAL ROAD,1128,103.84916,1.28589
5012,PEARL'S CTR,EU TONG SEN STREET,1129,103.84088,1.28155
5013,PEOPLE'S PK CPLX,EU TONG SEN STREET,1130,103.84299,1.28406
5019,OPP PEARL'S CTR,NEW BRIDGE ROAD,1131,103.84105,1.28118
5022,PEOPLE'S PK CTR,EU TONG SEN STREET,1132,103.8443,1.28582
5023,OPP HONG LIM PK,EU TONG SEN STREET,1133,103.84539,1.28693
5029,BOAT QUAY,SOUTH BRIDGE ROAD,1134,103.84815,1.2873
5039,NEW BRIDGE CTR,NEW BRIDGE ROAD,6585,103.84254,1.28294
5049,CHINATOWN PT,NEW BRIDGE ROAD,6586,103.84455,1.28531
5059,HONG LIM PK,NEW BRIDGE ROAD,1135,103.84575,1.28676
5069,OUTRAM PK STN,NEW BRIDGE ROAD,5674,103.8403,1.28028
5129,HONG LIM PK,UPPER PICKERING STREET,1136,103.84635,1.28601
5131,OPP HONG LIM CPLX,UPPER CROSS STREET,1137,103.84557,1.28385
5189,OPP SRI MARIAMMAN TP,SOUTH BRIDGE ROAD,1138,103.84524,1.28215
